,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
365,20-048,5,0,2016-12-17,2,11,8,.471,17,3,.600,5,.500,22,6,.857,7,@,L,18.2,1,33,OKC,1,3,Devin Booker,G,31,1,PHO,6,3
366,20-097,4,0,2017-02-04,2,9,4,.364,11,5,.625,8,.474,19,8,1.000,8,,L,18.4,1,38,MIL,1,5,Devin Booker,G,31,0,PHO,5,3
367,25-338,4,0,2016-10-29,10,11,3,.375,8,8,.727,11,.579,19,1,.500,2,@,W,26.6,1,36,CHO,1,4,Avery Bradley,G,31,1,BOS,1,11
368,27-087,4,0,2016-12-10,6,8,8,.533,15,0,,0,.533,15,15,.938,16,,W,28.8,1,38,MIA,1,2,Jimmy Butler,G-F,31,3,CHI,2,7
369,29-041,2,0,2016-11-21,4,11,6,.462,13,5,.625,8,.524,21,4,1.000,4,@,W,24.1,1,37,CHO,0,3,Mike Conley,G,31,3,MEM,1,4
370,26-121,5,3,2016-12-12,15,12,10,.526,19,2,.667,3,.545,22,5,.714,7,,W,23.9,1,35,LAL,2,3,DeMarcus Cousins,C-F,31,2,SAC,8,17
371,26-143,6,1,2017-01-03,6,10,7,.389,18,3,.429,7,.400,25,8,1.000,8,@,W,23.0,1,34,DEN,0,3,DeMarcus Cousins,C-F,31,0,SAC,0,6
372,26-155,7,1,2017-01-15,5,8,7,.500,14,1,.167,6,.400,20,14,.824,17,,L,26.5,1,34,OKC,6,2,DeMarcus Cousins,C-F,31,3,SAC,6,11
373,28-254,9,0,2016-11-23,5,11,4,.667,6,7,.583,12,.611,18,2,1.000,2,,W,30.2,1,29,LAL,0,1,Stephen Curry,G,31,1,GSW,1,5
374,28-264,1,0,2016-12-03,2,10,5,.625,8,5,.714,7,.667,15,6,1.000,6,,W,23.0,1,30,PHO,0,2,Stephen Curry,G,31,1,GSW,3,2
