,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
3357,28-082,2,0,2016-10-29,4,4,4,.364,11,0,.000,5,.250,16,9,.900,10,,L,8.3,1,42,POR,1,0,Danilo Gallinari,F,17,0,DEN,2,5
3358,28-114,4,1,2016-11-30,4,6,5,.455,11,1,.200,5,.375,16,4,.667,6,,L,8.9,1,36,MIA,0,3,Danilo Gallinari,F,17,0,DEN,2,4
3359,28-134,2,0,2016-12-20,4,6,2,.667,3,4,.500,8,.545,11,1,.500,2,@,L,13.2,1,32,LAC,1,1,Danilo Gallinari,F,17,0,DEN,1,5
3361,28-176,3,0,2017-01-31,2,5,5,.556,9,0,.000,3,.417,12,7,1.000,7,@,L,11.5,1,36,LAL,0,2,Danilo Gallinari,F,17,1,DEN,2,2
3362,25-017,2,0,2016-12-26,2,6,1,.333,3,5,1.000,5,.750,8,0,,0,,W,13.4,0,26,DAL,0,1,Langston Galloway,G,17,0,NOP,2,2
3363,31-320,3,0,2016-12-14,10,6,3,.500,6,3,1.000,3,.667,9,2,1.000,2,,W,18.5,1,29,CLE,1,1,Marc Gasol,C,17,1,MEM,1,11
3364,31-345,1,0,2017-01-08,3,7,7,.467,15,0,.000,3,.389,18,3,.750,4,,W,8.5,1,34,UTA,1,4,Marc Gasol,C,17,3,MEM,2,4
3365,32-012,7,1,2017-02-10,5,4,3,.333,9,1,.200,5,.286,14,8,.800,10,,L,10.8,1,36,GSW,1,5,Marc Gasol,C,17,1,MEM,4,6
3366,36-161,6,1,2016-12-14,12,7,6,.600,10,1,.500,2,.583,12,2,1.000,2,,W,22.6,1,35,BOS,1,0,Pau Gasol,F-C,17,2,SAS,0,13
3367,36-183,4,2,2017-01-05,8,7,6,.857,7,1,1.000,1,.875,8,2,.667,3,@,W,18.9,1,35,DEN,1,3,Pau Gasol,F-C,17,0,SAS,1,9
3368,30-071,2,0,2016-10-27,7,3,2,.286,7,1,.333,3,.300,10,10,.833,12,,L,13.3,1,32,SAS,0,4,Rudy Gay,F,17,2,SAC,1,7
3369,30-098,4,0,2016-11-23,7,6,3,.333,9,3,.500,6,.400,15,2,1.000,2,,W,12.0,1,34,OKC,2,3,Rudy Gay,F,17,0,SAC,2,9
3370,30-131,2,1,2016-12-26,7,7,6,.500,12,1,.250,4,.438,16,2,1.000,2,,W,9.8,1,36,PHI,2,1,Rudy Gay,F,17,0,SAC,4,9
3371,26-290,3,0,2017-02-16,7,6,5,.417,12,1,.143,7,.316,19,4,1.000,4,,L,8.9,1,37,WAS,0,1,Paul George,F,17,2,IND,3,7
3372,31-180,2,2,2016-12-21,7,8,8,.667,12,0,,0,.667,12,1,.333,3,,L,15.5,1,33,WAS,4,3,Taj Gibson,F,17,0,CHI,2,11
3373,39-143,1,1,2016-12-18,1,6,3,.750,4,3,.600,5,.667,9,2,1.000,2,,W,15.4,0,18,NOP,0,1,Manu Ginobili,G,17,1,SAS,0,1
3374,24-167,0,6,2016-12-10,10,5,5,.833,6,0,,0,.833,6,7,.875,8,,W,20.8,1,36,SAC,4,4,Rudy Gobert,C,17,0,UTA,2,14
3375,24-178,1,3,2016-12-21,12,6,6,.667,9,0,,0,.667,9,5,.714,7,,L,19.5,1,35,SAC,2,4,Rudy Gobert,C,17,1,UTA,0,14
3376,21-042,0,0,2016-10-28,4,6,5,.500,10,1,.500,2,.500,12,4,.667,6,@,L,13.3,1,29,DET,3,3,Aaron Gordon,F,17,2,ORL,1,7
3377,21-126,3,0,2017-01-20,6,7,7,.583,12,0,.000,4,.438,16,3,.500,6,,W,13.9,1,32,MIL,2,2,Aaron Gordon,F,17,2,ORL,0,8
3378,27-350,3,0,2016-12-09,0,5,2,.500,4,3,.500,6,.500,10,4,1.000,4,@,W,14.4,0,33,OKC,1,1,Eric Gordon,G,17,1,HOU,1,1
3379,27-364,4,1,2016-12-23,2,6,2,.667,3,4,.250,16,.316,19,1,1.000,1,@,L,9.8,0,32,MEM,0,1,Eric Gordon,G,17,1,HOU,1,2
3380,28-012,4,0,2017-01-06,3,7,4,1.000,4,3,.188,16,.350,20,0,,0,@,W,9.3,0,32,ORL,0,3,Eric Gordon,G,17,1,HOU,0,3
3382,28-037,1,0,2017-01-31,3,7,4,.800,5,3,.300,10,.467,15,0,,0,,W,10.9,0,28,SAC,2,1,Eric Gordon,G,17,0,HOU,1,5
3383,32-347,2,0,2017-01-29,8,7,7,.636,11,0,,0,.636,11,3,1.000,3,@,W,15.8,1,31,NOP,3,3,Marcin Gortat,C-F,17,1,WAS,2,11
3384,26-191,2,1,2016-12-29,2,6,4,.800,5,2,1.000,2,.857,7,3,.600,5,,W,16.2,1,34,OKC,2,4,JaMychal Green,F,17,1,MEM,1,4
3385,30-104,1,0,2016-12-10,4,6,4,.667,6,2,.500,4,.600,10,3,.750,4,,L,12.5,0,25,DEN,0,1,Jeff Green,F,17,0,ORL,1,4
3386,30-126,2,0,2017-01-01,1,7,4,.667,6,3,.500,6,.583,12,0,,0,@,L,12.0,0,23,IND,1,2,Jeff Green,F,17,0,ORL,1,2
3387,27-336,9,2,2017-02-15,4,6,5,.417,12,1,.333,3,.400,15,4,1.000,4,,W,14.7,1,29,ATL,1,2,Blake Griffin,F,17,1,LAC,4,5
3388,24-315,5,0,2017-01-25,2,6,2,.400,5,4,.667,6,.545,11,1,1.000,1,@,W,12.6,0,33,CHI,0,3,Tim Hardaway,G,17,0,ATL,2,2
3389,27-147,11,0,2017-01-20,6,6,6,.750,8,0,.000,5,.462,13,5,1.000,5,,L,12.6,1,35,GSW,0,3,James Harden,G,17,1,HOU,7,6
3390,23-186,0,2,2016-11-13,5,6,4,.571,7,2,.500,4,.545,11,3,.750,4,,W,14.1,1,33,DEN,1,2,Maurice Harkless,F-G,17,0,POR,0,6
3391,23-206,1,1,2016-12-03,5,6,5,.556,9,1,.333,3,.500,12,4,1.000,4,,W,14.5,1,33,MIA,2,2,Maurice Harkless,F-G,17,1,POR,1,7
3392,23-220,0,2,2016-12-17,2,7,4,.500,8,3,.429,7,.467,15,0,,0,@,L,11.1,1,30,GSW,0,3,Maurice Harkless,F-G,17,2,POR,1,2
3393,23-278,2,2,2017-02-13,3,7,4,.364,11,3,.750,4,.467,15,0,.000,1,,L,14.2,1,32,ATL,6,4,Maurice Harkless,F-G,17,1,POR,2,9
3394,22-281,0,3,2016-11-02,5,8,8,.727,11,0,,0,.727,11,1,.500,2,@,W,15.4,0,27,NYK,5,2,Montrezl Harrell,F-C,17,1,HOU,4,10
3395,22-330,3,3,2016-12-21,3,8,8,.727,11,0,,0,.727,11,1,.500,2,@,W,13.4,1,28,PHO,0,2,Montrezl Harrell,F-C,17,0,HOU,3,3
3396,33-311,1,0,2017-01-03,4,6,2,.500,4,4,.571,7,.545,11,1,1.000,1,,W,13.8,0,17,WAS,0,2,Devin Harris,G,17,1,DAL,0,4
3397,22-105,1,0,2016-12-28,3,7,5,.714,7,2,.400,5,.583,12,1,1.000,1,,W,11.7,1,29,MIN,1,0,Gary Harris,G,17,0,DEN,2,4
3398,22-107,4,0,2016-12-30,3,5,3,.500,6,2,.333,6,.417,12,5,.833,6,,L,11.8,1,34,PHI,1,2,Gary Harris,G,17,1,DEN,3,4
3399,22-139,4,0,2017-01-31,3,6,3,.429,7,3,.750,4,.545,11,2,1.000,2,@,L,14.9,1,32,LAL,1,3,Gary Harris,G,17,4,DEN,4,4
3400,25-087,2,0,2016-12-03,5,7,4,.800,5,3,.429,7,.583,12,0,,0,@,L,13.1,0,30,MIL,0,3,Joe Harris,G,17,1,BRK,1,5
3401,24-131,3,0,2016-11-23,5,6,6,.500,12,0,.000,2,.429,14,5,.833,6,,W,11.1,1,33,MIA,1,1,Tobias Harris,F,17,0,DET,2,6
3403,24-170,0,2,2017-01-01,6,5,4,.444,9,1,.250,4,.385,13,6,.857,7,@,W,13.6,0,35,MIA,1,2,Tobias Harris,F,17,2,DET,1,7
3404,26-266,2,2,2016-12-14,2,7,7,.700,10,0,.000,4,.500,14,3,.600,5,,W,9.8,1,32,OKC,0,2,Gordon Hayward,F-G,17,0,UTA,2,2
3405,26-299,5,0,2017-01-16,4,4,3,.300,10,1,.333,3,.308,13,8,.889,9,@,W,12.4,1,32,PHO,0,1,Gordon Hayward,F-G,17,0,UTA,1,4
3406,26-306,1,0,2017-01-23,6,6,4,.364,11,2,.333,6,.353,17,3,1.000,3,,L,10.6,1,36,OKC,0,1,Gordon Hayward,F-G,17,1,UTA,0,6
3407,26-322,3,0,2017-02-08,5,7,6,.500,12,1,.250,4,.438,16,2,1.000,2,@,W,13.9,1,26,NOP,1,0,Gordon Hayward,F-G,17,1,UTA,0,6
3408,28-336,2,0,2016-11-09,3,8,7,.636,11,1,.333,3,.571,14,0,,0,@,L,8.4,1,30,IND,1,5,Gerald Henderson,G,17,0,PHI,3,4
3409,22-204,2,2,2016-12-17,8,5,5,.625,8,0,,0,.625,8,7,.875,8,@,L,17.0,0,28,DEN,2,4,Willy Hernangomez,C,17,0,NYK,1,10
3410,22-236,1,0,2017-01-18,7,8,8,.615,13,0,,0,.615,13,1,1.000,1,@,W,14.9,0,20,BOS,4,2,Willy Hernangomez,C,17,0,NYK,1,11
3411,23-011,0,0,2016-12-28,5,7,4,.667,6,3,.600,5,.636,11,0,,0,,W,13.9,1,23,LAC,1,1,Buddy Hield,G,17,1,NOP,1,6
3412,23-055,1,0,2017-02-10,4,7,5,.833,6,2,.500,4,.700,10,1,1.000,1,@,W,12.5,1,22,MIN,0,3,Buddy Hield,G,17,0,NOP,1,4
3413,34-132,1,2,2017-01-23,5,6,6,.667,9,0,,0,.667,9,5,.625,8,@,L,17.2,0,22,MIL,3,1,Nene Hilario,F-C,17,2,HOU,2,8
3414,30-257,3,1,2017-01-16,6,7,6,.600,10,1,.125,8,.389,18,2,1.000,2,@,W,9.8,1,33,PHO,2,1,George Hill,G,17,0,UTA,3,8
3415,30-265,5,0,2017-01-24,3,6,5,.417,12,1,.167,6,.333,18,4,1.000,4,@,L,10.4,1,35,DEN,0,2,George Hill,G,17,1,UTA,1,3
3416,26-168,6,0,2016-11-27,3,7,4,.444,9,3,.750,4,.538,13,0,,0,@,L,11.3,0,31,DAL,1,3,Jrue Holiday,G,17,0,NOP,4,4
3417,27-285,1,0,2017-01-15,2,5,2,.667,3,3,.600,5,.625,8,4,.800,5,@,L,14.3,0,26,TOR,0,0,Justin Holiday,G,17,1,NYK,1,2
3418,24-023,1,1,2016-11-12,4,6,5,.556,9,1,.250,4,.462,13,4,1.000,4,@,W,10.3,1,34,MIA,0,4,Rodney Hood,G-F,17,0,UTA,1,4
3419,30-173,8,2,2016-11-23,4,7,4,.500,8,3,.750,4,.583,12,0,,0,@,W,18.5,1,30,BRK,1,2,Al Horford,C-F,17,1,BOS,2,5
3420,30-198,8,1,2016-12-18,5,7,7,.636,11,0,.000,5,.438,16,3,1.000,3,@,W,18.4,1,31,MIA,2,1,Al Horford,C-F,17,2,BOS,1,7
3421,30-200,3,1,2016-12-20,11,8,7,.636,11,1,.125,8,.421,19,0,.000,1,@,W,11.5,1,40,MEM,3,3,Al Horford,C-F,17,0,BOS,2,14
3422,30-232,5,0,2017-01-21,7,6,4,.364,11,2,1.000,2,.462,13,3,.600,5,,L,13.1,1,38,POR,2,6,Al Horford,C-F,17,0,BOS,1,9
3424,30-358,1,0,2016-11-30,11,8,8,.800,10,0,,0,.800,10,1,1.000,1,@,L,12.1,1,33,PHO,3,3,Dwight Howard,C,17,0,ATL,6,14
3425,27-046,0,1,2016-11-03,2,6,5,.714,7,1,.167,6,.462,13,4,1.000,4,,W,11.5,1,33,SAC,1,2,Serge Ibaka,F-C,17,0,ORL,0,3
3426,27-105,1,2,2017-01-01,4,8,8,.667,12,0,.000,5,.471,17,1,.500,2,@,L,12.8,1,32,IND,2,2,Serge Ibaka,F-C,17,1,ORL,0,6
3427,27-134,2,2,2017-01-30,6,7,4,.444,9,3,.429,7,.438,16,0,,0,@,L,13.4,1,38,MIN,4,4,Serge Ibaka,F-C,17,1,ORL,2,10
3428,27-148,0,1,2017-02-13,3,7,6,.750,8,1,1.000,1,.778,9,2,1.000,2,@,W,18.4,1,28,MIA,5,3,Serge Ibaka,F-C,17,1,ORL,0,8
3429,29-204,2,0,2016-12-05,5,7,5,.500,10,2,.400,5,.467,15,1,.500,2,,L,14.1,1,36,DEN,3,2,Ersan Ilyasova,F,17,2,PHI,1,8
3430,29-225,2,0,2016-12-26,4,7,5,.714,7,2,.400,5,.583,12,1,.500,2,@,L,13.6,0,33,SAC,0,5,Ersan Ilyasova,F,17,2,PHI,0,4
3431,29-255,2,0,2017-01-25,8,6,3,.333,9,3,.600,5,.429,14,2,.500,4,@,W,12.3,1,27,MIL,1,0,Ersan Ilyasova,F,17,1,PHI,2,9
3432,19-091,2,0,2016-12-02,5,8,7,.636,11,1,.200,5,.500,16,0,,0,@,L,10.4,1,35,TOR,1,3,Brandon Ingram,F,17,0,LAL,1,6
3433,19-126,4,0,2017-01-06,5,6,6,.750,8,0,.000,1,.667,9,5,1.000,5,,W,18.1,0,28,MIA,1,0,Brandon Ingram,F,17,0,LAL,0,6
3434,19-128,2,1,2017-01-08,3,6,4,.800,5,2,.500,4,.667,9,3,.750,4,,W,11.9,0,27,ORL,0,2,Brandon Ingram,F,17,0,LAL,3,3
3435,24-299,2,1,2017-01-16,2,6,5,.357,14,1,.200,5,.316,19,4,.800,5,@,L,2.2,1,29,GSW,0,3,Kyrie Irving,G,17,1,CLE,6,2
3436,26-251,6,0,2016-12-23,3,7,7,.538,13,0,.000,4,.412,17,3,.750,4,,L,7.8,1,30,GSW,0,2,Reggie Jackson,G,17,1,DET,5,3
3437,27-055,11,0,2016-11-17,2,7,4,.800,5,3,.600,5,.700,10,0,,0,@,L,21.0,0,24,WAS,3,3,Brandon Jennings,G,17,1,NYK,2,5
3438,27-106,4,0,2017-01-07,2,6,3,.500,6,3,.600,5,.545,11,2,.400,5,@,L,12.2,0,23,IND,1,1,Brandon Jennings,G,17,0,NYK,2,3
3439,29-236,5,0,2016-12-23,3,6,5,.625,8,1,.500,2,.600,10,4,.800,5,,L,19.3,1,26,OKC,3,3,Amir Johnson,F,17,2,BOS,0,6
3440,29-273,1,2,2016-11-19,1,7,5,1.000,5,2,.667,3,.875,8,1,.333,3,@,W,16.2,0,27,WAS,2,0,James Johnson,F,17,1,MIA,2,3
3441,29-345,5,3,2017-01-30,3,6,4,.500,8,2,.667,3,.545,11,3,.750,4,,W,17.1,0,33,BRK,1,1,James Johnson,F,17,2,MIA,3,4
3442,35-188,2,2,2017-01-03,3,7,4,.571,7,3,.750,4,.636,11,0,,0,@,L,16.0,0,21,BOS,0,2,Joe Johnson,G-F,17,1,UTA,0,3
3443,24-200,7,1,2016-11-23,2,5,5,.500,10,0,.000,3,.385,13,7,.778,9,@,L,15.3,0,32,DET,0,0,Tyler Johnson,G,17,1,MIA,1,2
3445,24-280,5,0,2017-02-11,3,6,5,.556,9,1,.250,4,.462,13,4,1.000,4,@,L,12.7,0,32,PHI,0,5,Tyler Johnson,G,17,1,MIA,1,3
3446,21-285,3,0,2016-11-30,11,7,7,.636,11,0,,0,.636,11,3,.750,4,,L,18.0,0,24,MIA,3,3,Nikola Jokic,C-F,17,1,DEN,1,14
3447,21-293,1,1,2016-12-08,4,6,6,.600,10,0,,0,.600,10,5,.714,7,@,L,14.7,0,28,WAS,7,1,Nikola Jokic,C-F,17,0,DEN,4,11
3448,21-360,12,0,2017-02-13,15,7,7,.538,13,0,,0,.538,13,3,.750,4,,W,23.2,1,36,GSW,6,3,Nikola Jokic,C-F,17,2,DEN,5,21
3449,24-318,1,1,2016-11-22,6,7,7,.636,11,0,.000,2,.538,13,3,.750,4,@,W,13.7,0,28,ATL,0,2,Terrence Jones,F,17,1,NOP,0,6
3450,24-319,1,1,2016-11-23,6,7,7,.778,9,0,.000,1,.700,10,3,.750,4,,W,15.9,0,24,MIN,1,1,Terrence Jones,F,17,1,NOP,1,7
3451,24-346,3,0,2016-12-20,6,6,6,.429,14,0,,0,.429,14,5,.625,8,@,W,12.3,0,30,PHI,4,2,Terrence Jones,F,17,0,NOP,2,10
3452,28-123,0,1,2016-11-21,12,4,4,.667,6,0,,0,.667,6,9,.643,14,,W,16.2,1,34,TOR,3,4,DeAndre Jordan,C,17,0,LAC,1,15
3453,25-095,1,1,2016-11-23,1,6,3,.375,8,3,1.000,3,.545,11,2,1.000,2,@,W,15.1,0,25,HOU,1,0,Cory Joseph,G,17,1,TOR,0,2
3454,25-118,4,0,2016-12-16,2,7,6,.545,11,1,1.000,1,.583,12,2,1.000,2,,L,15.4,0,27,ATL,2,2,Cory Joseph,G,17,0,TOR,0,4
3455,23-275,2,1,2017-01-04,4,6,4,.667,6,2,.400,5,.545,11,3,.750,4,,W,15.2,0,24,OKC,2,2,Frank Kaminsky,F-C,17,2,CHO,2,6
3456,24-159,0,1,2016-10-26,7,7,7,.500,14,0,,0,.500,14,3,.750,4,@,W,15.7,0,24,PHI,5,3,Enes Kanter,C,17,1,OKC,0,12
3457,24-198,1,2,2016-12-04,6,7,7,.538,13,0,,0,.538,13,3,.500,6,,W,14.4,0,30,NOP,4,2,Enes Kanter,C,17,1,OKC,2,10
3458,24-250,2,0,2017-01-25,8,6,6,.462,13,0,,0,.462,13,5,1.000,5,@,W,14.8,0,21,NOP,3,1,Enes Kanter,C,17,0,OKC,1,11
3459,23-117,1,2,2017-01-21,8,7,7,.636,11,0,,0,.636,11,3,.750,4,,W,17.2,1,35,BRK,6,3,Michael Kidd-Gilchrist,F,17,0,CHO,2,14
3460,26-341,2,0,2016-12-12,3,6,4,.667,6,2,1.000,2,.750,8,3,.750,4,@,L,6.7,1,32,HOU,0,5,Sean Kilpatrick,G,17,0,BRK,7,3
3461,27-017,1,0,2017-01-23,10,7,6,.600,10,1,.167,6,.438,16,2,1.000,2,,L,8.5,0,31,SAS,0,2,Sean Kilpatrick,G,17,0,BRK,3,10
3462,24-352,5,0,2016-11-18,0,6,3,.333,9,3,.600,5,.429,14,2,1.000,2,@,W,10.5,0,22,IND,0,4,Brandon Knight,G,17,1,PHO,2,0
3463,25-019,2,1,2016-12-21,4,5,3,.375,8,2,1.000,2,.500,10,5,.833,6,,L,14.4,0,26,HOU,1,3,Brandon Knight,G,17,2,PHO,2,5
3464,25-034,2,0,2017-01-05,0,6,5,.500,10,1,1.000,1,.545,11,4,1.000,4,@,W,14.3,0,26,DAL,2,3,Brandon Knight,G,17,1,PHO,0,2
3466,25-055,4,1,2017-01-26,1,8,7,.778,9,1,.500,2,.727,11,0,,0,@,L,14.3,0,29,DEN,0,0,Brandon Knight,G,17,0,PHO,2,1
3467,35-228,0,0,2016-10-31,0,6,1,.333,3,5,.625,8,.545,11,0,,0,,W,10.3,1,32,SAC,0,1,Kyle Korver,G-F,17,1,ATL,2,0
3468,35-248,1,0,2016-11-20,4,7,5,.625,8,2,.500,4,.583,12,1,1.000,1,@,L,14.9,1,37,NYK,0,1,Kyle Korver,G-F,17,2,ATL,0,4
3469,27-091,2,0,2017-01-18,4,6,4,.444,9,2,.667,3,.500,12,3,1.000,3,@,W,13.6,1,29,BOS,2,1,Mindaugas Kuzminskas,F,17,0,NYK,1,6
3470,24-210,1,1,2016-12-26,3,7,5,.625,8,2,.333,6,.500,14,1,.333,3,@,L,11.0,0,22,BRK,1,3,Jeremy Lamb,G-F,17,0,CHO,0,4
3471,25-136,4,0,2017-02-13,3,6,5,.833,6,1,1.000,1,.857,7,4,1.000,4,@,L,18.1,0,29,WAS,3,3,Joffrey Lauvergne,C-F,17,0,OKC,1,6
3472,21-243,1,0,2016-11-08,2,5,4,.364,11,1,.200,5,.313,16,6,1.000,6,@,L,8.1,1,40,BRK,0,0,Zach LaVine,G,17,0,MIN,1,2
3473,21-265,1,0,2016-11-30,1,5,4,.500,8,1,.200,5,.385,13,6,1.000,6,,L,9.2,1,42,NYK,1,1,Zach LaVine,G,17,1,MIN,3,2
3474,21-268,3,1,2016-12-03,1,7,4,.364,11,3,.333,9,.350,20,0,,0,@,W,11.2,1,44,CHO,1,1,Zach LaVine,G,17,2,MIN,0,2
3475,21-293,5,0,2016-12-28,1,7,5,.556,9,2,.250,8,.412,17,1,.500,2,@,L,12.3,1,40,DEN,0,0,Zach LaVine,G,17,1,MIN,0,1
3476,29-064,6,0,2017-01-06,4,6,6,.667,9,0,.000,3,.500,12,5,.833,6,,L,14.6,1,37,LAC,0,1,Ty Lawson,G,17,1,SAC,2,4
3477,29-071,4,0,2017-01-13,4,7,7,.778,9,0,.000,1,.700,10,3,.750,4,,L,12.6,0,26,CLE,0,2,Ty Lawson,G,17,0,SAC,3,4
3478,22-239,1,0,2016-11-01,1,6,1,1.000,1,5,.714,7,.750,8,0,,0,,L,15.8,0,8,GSW,0,0,Jake Layman,F,17,1,POR,0,1
3479,31-032,4,0,2016-11-04,2,8,7,.778,9,1,1.000,1,.800,10,0,,0,@,W,15.4,1,41,CHI,0,3,Courtney Lee,G,17,0,NYK,0,2
3480,31-118,2,1,2017-01-29,7,6,3,.375,8,3,.375,8,.375,16,2,1.000,2,@,L,12.8,1,52,ATL,2,5,Courtney Lee,G,17,2,NYK,1,9
3481,31-124,0,1,2017-02-04,2,7,4,.667,6,3,.600,5,.636,11,0,.000,2,,L,11.6,1,30,CLE,2,1,Courtney Lee,G,17,0,NYK,2,4
3482,23-160,0,2,2016-11-23,8,6,6,.600,10,0,,0,.600,10,5,.833,6,@,W,14.8,1,35,ORL,4,2,Alex Len,C,17,0,PHO,3,12
3483,25-135,1,0,2016-11-11,4,5,1,.077,13,4,.800,5,.278,18,3,1.000,3,,W,9.9,1,37,DET,0,1,Kawhi Leonard,F,17,4,SAS,2,4
3484,24-329,0,0,2017-01-21,3,6,2,.667,3,4,1.000,4,.857,7,1,1.000,1,@,W,13.3,0,25,BOS,1,2,Meyers Leonard,C-F,17,1,POR,3,4
3485,27-186,3,0,2016-11-16,7,7,5,.714,7,2,.500,4,.636,11,1,1.000,1,@,L,15.9,0,27,NYK,2,2,Jon Leuer,F,17,1,DET,2,9
3487,27-209,1,0,2016-12-09,4,5,5,.833,6,0,.000,4,.500,10,7,.875,8,@,W,14.8,0,28,MIN,1,1,Jon Leuer,F,17,1,DET,0,5
3488,27-216,5,0,2016-12-16,6,8,7,.778,9,1,.333,3,.667,12,0,,0,@,L,17.0,0,31,WAS,1,2,Jon Leuer,F,17,1,DET,1,7
3489,22-148,6,1,2017-01-20,4,6,3,1.000,3,3,1.000,3,1.000,6,2,1.000,2,@,W,18.8,0,25,NOP,1,3,Caris LeVert,G-F,17,1,BRK,3,5
3490,26-151,9,0,2016-12-13,0,7,6,.750,8,1,.200,5,.538,13,2,1.000,2,,W,16.0,1,30,OKC,2,1,Damian Lillard,G,17,1,POR,3,2
3491,28-115,3,0,2016-12-16,3,7,6,.545,11,1,.500,2,.538,13,2,1.000,2,@,L,12.3,0,20,ORL,0,1,Jeremy Lin,G,17,0,BRK,1,3
3492,28-125,4,0,2016-12-26,0,6,4,.571,7,2,.500,4,.545,11,3,.750,4,,W,12.3,1,22,CHO,0,2,Jeremy Lin,G,17,2,BRK,3,0
3493,28-240,2,0,2016-11-27,6,5,2,.250,8,3,.429,7,.333,15,4,1.000,4,,L,9.6,1,30,SAC,1,2,Brook Lopez,C,17,0,BRK,2,7
3494,28-280,1,0,2017-01-06,1,5,4,.500,8,1,.500,2,.500,10,6,.857,7,,L,6.8,1,33,CLE,0,2,Brook Lopez,C,17,0,BRK,5,1
3495,28-318,5,0,2017-02-13,2,7,6,.462,13,1,.200,5,.389,18,2,1.000,2,,L,9.4,1,32,MEM,1,4,Brook Lopez,C,17,1,BRK,2,3
3496,28-311,2,0,2017-02-06,2,7,7,.583,12,0,,0,.583,12,3,.750,4,@,W,14.0,1,32,SAC,4,2,Robin Lopez,C,17,1,CHI,2,6
3497,28-313,4,0,2017-02-08,3,8,8,.444,18,0,,0,.444,18,1,.500,2,@,L,15.4,1,29,GSW,7,1,Robin Lopez,C,17,1,CHI,1,10
3498,28-067,4,0,2016-11-13,7,6,4,.571,7,2,.667,3,.600,10,3,.750,4,,W,18.5,1,26,CHO,4,3,Kevin Love,F,17,1,CLE,1,11
3499,28-110,1,1,2016-12-26,10,6,3,.375,8,3,.500,6,.429,14,2,1.000,2,@,L,13.0,1,26,DET,4,2,Kevin Love,F,17,2,CLE,5,14
3500,28-121,2,0,2017-01-06,10,5,1,.143,7,4,.444,9,.313,16,3,1.000,3,@,W,9.5,1,36,BRK,3,2,Kevin Love,F,17,0,CLE,4,13
3501,28-126,1,0,2017-01-11,8,5,2,.333,6,3,.333,9,.333,15,4,1.000,4,@,L,10.6,1,28,POR,0,0,Kevin Love,F,17,0,CLE,1,8
3502,30-217,4,0,2016-10-28,2,5,4,.364,11,1,.200,5,.313,16,6,.857,7,,L,3.2,1,39,CLE,0,4,Kyle Lowry,G,17,0,TOR,6,2
3503,30-243,9,0,2016-11-23,0,6,4,.500,8,2,.286,7,.400,15,3,.750,4,@,W,12.3,1,36,HOU,1,3,Kyle Lowry,G,17,1,TOR,3,1
3504,30-253,8,1,2016-12-03,7,6,3,.750,4,3,.600,5,.667,9,2,1.000,2,,W,19.6,1,31,ATL,1,4,Kyle Lowry,G,17,0,TOR,1,8
3505,26-206,4,0,2016-11-14,1,7,5,.833,6,2,.667,3,.778,9,1,.500,2,,L,15.8,0,28,MEM,2,2,Shelvin Mack,G,17,0,UTA,1,3
3506,26-245,5,0,2016-12-23,3,7,5,.714,7,2,.333,6,.538,13,1,.500,2,,L,13.0,1,34,TOR,1,1,Shelvin Mack,G,17,1,UTA,3,4
3508,26-258,2,0,2017-01-05,3,7,6,.750,8,1,1.000,1,.778,9,2,1.000,2,@,L,12.3,1,31,TOR,1,3,Shelvin Mack,G,17,1,UTA,4,4
3509,30-073,2,0,2016-12-26,2,4,1,.250,4,3,.429,7,.364,11,6,.857,7,@,L,9.7,1,36,NOP,0,2,Wesley Matthews,G,17,2,DAL,4,2
3510,30-107,3,0,2017-01-29,7,6,4,.800,5,2,.400,5,.600,10,3,.750,4,@,W,16.4,1,31,SAS,0,2,Wesley Matthews,G,17,2,DAL,1,7
3511,25-057,3,0,2016-11-15,3,7,4,.364,11,3,.500,6,.412,17,0,,0,,L,8.4,1,33,CHI,1,3,C.J. McCollum,G,17,1,POR,3,4
3512,25-075,4,2,2016-12-03,2,7,6,.462,13,1,.200,5,.389,18,2,.667,3,,W,11.2,1,33,MIA,2,2,C.J. McCollum,G,17,0,POR,1,4
3513,24-280,8,0,2016-12-30,2,6,3,.333,9,3,1.000,3,.500,12,2,1.000,2,@,W,14.0,1,36,DEN,0,3,T.J. McConnell,G,17,0,PHI,2,2
3514,25-001,1,0,2017-01-04,5,6,3,.600,5,3,.750,4,.667,9,2,1.000,2,@,W,16.6,0,32,CLE,1,1,Doug McDermott,F,17,1,CHI,0,6
3515,25-004,1,0,2017-01-07,8,6,4,.400,10,2,.286,7,.353,17,3,1.000,3,,W,10.6,0,38,TOR,2,1,Doug McDermott,F,17,1,CHI,2,10
3516,28-331,1,1,2016-12-15,0,8,8,.800,10,0,,0,.800,10,1,.333,3,,W,14.2,1,16,NYK,2,0,JaVale McGee,C,17,0,GSW,1,2
3517,23-363,1,0,2017-02-08,2,7,4,.571,7,3,.600,5,.583,12,0,,0,,W,10.9,0,30,BOS,0,2,Ben McLemore,G,17,0,SAC,1,2
